TDS,TDS Duration,Vrot,Vrot Width,AzShear,TDS Height,TDS Width,Peak Wind,Min CC,Beam Height,Path Length,Path Width,tag
1,13,20.9,1.43,0.008,7.3,1.5,125,,,5.26,300,20200420_0440_ALHenry_kevx
1,16,25.3,0.96,0.015,7.3,2.4,120,,,8.69,500,20200420_0610_GAMitchell_kvax
1,13,48.6,0.55,0.049,13.7,1.2,117,,,4.69,600,20200422_2124_OKCarter_ktlx
1,11,47.6,0.71,0.037,12.1,3.3,132,,,4.25,800,20200422_2153_OKMarshall_ktlx
1,48,73.3,0.77,0.053,17.9,2.9,140,,,32.31,1100,20200422_2235_TXSanJacinto_khgx
0,,22.3,1.56,0.008,,,115,,,10.2,810,20200422_2351_TXLamar_kfws
1,58,72.8,0.67,0.06,15.4,2,130,,,37,600,20200423_0028_TXJasper_kpoe
1,17,52.5,0.76,0.038,9.7,1.8,120,,,8.9,500,20200423_0209_LARapides_kpoe
1,13,73.7,0.59,0.069,13.6,1.5,130,,,9.1,550,20200423_0226_LARapides_kpoe
1,5,39.8,0.32,0.069,3.3,0.9,115,,,3.6,100,20200423_0608_LAAvoyelles_kpoe
1,18,60.7,0.61,0.055,12.1,2.4,130,,,18.3,1760,20200423_0800_MSAmite_klix
0,,39.3,1.44,0.015,,,112,,,16.94,2640,20200423_0912_MSJones_kdgx
1,10,36.4,0.94,0.022,1.9,0.6,120,,,18.12,400,20200423_2049_FLWashington_kevx
1,11,55.4,0.76,0.04,14.2,1.9,120,,,7.94,425,20200424_2340_TXFannin_kfws
1,11,39.8,0.29,0.076,3,0.5,115,,,5.54,400,20200426_0109_SCGreenville_kgsp
0,,67,0.65,0.057,,,127,,,20.13,350,20200429_0320_OKMcCurtain_ksrx
1,12,50,0.36,0.077,4.6,0.8,115,,,14.24,200,20200505_2245_SCChester_kcae
1,9,26.7,0.48,0.031,7.4,1.2,150,,,4,100,20200518_0134_LAAcadia_klch
1,18,30.6,0.47,0.036,2.7,0.7,118,,,9.6,790,20200611_0131_PABeaver_kpbz
1,3,35,0.97,0.02,13.3,1.2,115,,,3.4,275,20200702_2326_NEDawes_kcys
1,8,59.2,0.48,0.069,1.9,0.6,115,,,2.65,150,20200705_0035_SDMcPherson_kabr
1,4,58.3,0.55,0.059,4.6,0.7,120,,,7.41,770,20200707_0038_WYCrook_kudx
0,,24.3,0.92,0.015,,,112,,,3,300,20200708_1010_MNOtterTail_kmvx
1,11,59.2,1.32,0.025,22.1,1.9,170,,,9,650,20200708_2208_MNGrant_kmvx
1,13,55.4,0.21,0.147,4.6,0.9,115,,,8.3,80,20200803_2355_NCBrunswick_kltx
1,14,60.2,0.59,0.057,13.5,2.1,145,,,10,600,20200804_0515_NCBertie_kakq
1,20,47.6,0.46,0.057,9.7,0.9,125,,,15.9,200,20200804_0649_VASouthampton_kakq
1,28,55.8,0.52,0.06,13.2,2,135,,,15.6,500,20200804_0940_VALancaster_kakq
1,5,34.5,0.48,0.04,1.8,0.7,125,,,1.3,100,20200804_0955_MDWicomico_kdox
1,14,35.9,0.76,0.026,11.9,3,112,,,3.79,200,20200804_1114_MDWorcester_kdox
1,11,35,0.72,0.027,5.1,1.8,115,,,20,500,20200804_1450_PAPhiladelphia_kdix
0,,22.3,1.1,0.011,,,115,,,14,250,20200814_2042_MNGrant_kabr
0,,45.7,0.56,0.045,,,111,,,4.6,550,20200818_1948_FLVolusia_kmlb
1,4,20.4,1.28,0.009,11.1,1.4,115,,,14.02,100,20200828_0307_ARRandolph_knqa
0,,29.1,0.9,0.018,,,135,,,1.6,300,20200830_2303_SDHand_kabr
1,17,36.4,0.33,0.061,8.9,0.9,115,,,5.27,150,20200901_2007_ARCleburne_klzk
1,19,27.7,0.46,0.033,4.9,0.6,120,,,5,150,20201125_0251_TXTarrant_kfws
1,12,53.9,0.27,0.111,7.4,0.5,121,,,13.1,300,20201216_2049_FLPinellas_ktbw
1,23,27.2,0.85,0.018,8.9,1.1,122,,,1.2,20,20201223_2154_TXNewton_kpoe
1,13,69.4,0.28,0.138,16,0.8,152,,,9.51,900,20210126_0440_ALJefferson_kbmx
